	nb_genes	nb_rnx	nb_pw > 80%	nb_pw 100%
Laminarionema_elsbetiae	7244	3124	468	395
Desmarestia_dudresnayi	11946	3435	527	446
Heribaudiella_fluviatilis	13875	3665	583	504
Saccorhiza_polyschides_MALE	7981	3173	484	406
Saccorhiza_dermatodea	7733	3017	457	384
Himanthalia_elongata	8424	3066	470	390
Pelvetia_canaliculata	8964	3575	566	496
Fucus_distichus	9052	3202	485	399
Macrocystis_pyrifera_MALE	10913	3958	614	535
Feldmannia_mitchelliae	7785	3210	499	427
Myriotrichia_clavaeformis_FEMALE	8483	3307	500	416
Hapterophycus_canaliculatus_FEMALE	8548	3351	523	452
